patient_loc,responder_loc_run1,duration_Responder_run1,Indirect_Responder_loc_run1,aed_loc_run1,duration_AED_run1,vector_loc_run1,duration_Vector_run1,prob_vec_run1,prob_resp_run1,filter_values_run1,opening_hour_run1,decline_rate_run1,max_number_responder_run1,proportion_of_CFR_run1,responder_loc_run2,duration_Responder_run2,Indirect_Responder_loc_run2,aed_loc_run2,duration_AED_run2,vector_loc_run2,duration_Vector_run2,prob_vec_run2,prob_resp_run2,filter_values_run2,opening_hour_run2,decline_rate_run2,max_number_responder_run2,proportion_of_CFR_run2,responder_loc_run3,duration_Responder_run3,Indirect_Responder_loc_run3,aed_loc_run3,duration_AED_run3,vector_loc_run3,duration_Vector_run3,prob_vec_run3,prob_resp_run3,filter_values_run3,opening_hour_run3,decline_rate_run3,max_number_responder_run3,proportion_of_CFR_run3
"(4.724486, 50.875134)","(4.722136011708705, 50.874206220517856)",142.51,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",641.37,0.3242465057909876,0.604413453920424,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.663458, 50.872624)","(4.6658905158857875, 50.873479714869625)",145.53,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",621.19,0.33594259605419413,0.6083393723102013,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.706287, 50.868107)","(4.705988858612108, 50.8691637115957)",103.86,"(4.711112472516381, 50.86818258479026)","(4.7116128, 50.867677)",477.15,"(4.6998331, 50.8723536)",618.41,0.3375865777840803,0.6894362723078268,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.729334, 50.886379)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1978.53,0.030983028750326103,0.030983028750326103,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.7093, 50.870361)",No responder,10000.0,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",750.8,0.2675600498019277,0.2675600498019277,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.710888, 50.862229)","(4.713704693962944, 50.85917431659906)",353.98,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1305.21,0.1010681762621788,0.3313807968716729,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.741317, 50.886149)","(4.740289987467806, 50.886116542285166)",72.91,"(4.737569288669837, 50.88310876740583)","(4.7346682, 50.8825443)",994.84,"(4.7243436, 50.8696549)",1968.98,0.03150699160706926,0.5509828810335542,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.674596, 50.871597)",No responder,10000.0,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",779.19,0.25454838667826796,0.25454838667826796,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.702134, 50.897263)","(4.702689562010014, 50.89699854381997)",57.3,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",1815.57,0.04124784031599309,0.37038542061000834,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.70586, 50.881605)",No responder,10000.0,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",716.58,0.2841307843631432,0.2841307843631432,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.735139, 50.879159)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1102.01,0.14440419076859629,0.14440419076859629,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.657334, 50.861426)","(4.656214589952428, 50.86204507885331)",142.68,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",1671.87,0.053087271447934674,0.35813477469679567,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.712731, 50.879035)",No responder,10000.0,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1008.44,0.170191789070949,0.170191789070949,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.728813, 50.898917)","(4.736022809768865, 50.90116198996117)",610.39,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",4760.57,0.00023413754087790495,0.0416396136123332,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.711828, 50.871651)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",859.22,0.22117573678397195,0.22117573678397195,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.693275, 50.875681)","(4.693582248665942, 50.87500428572029)",52.77,"(4.692209663641214, 50.869645010727275)","(4.692543, 50.86957)",688.35,"(4.6953981, 50.8785355)",321.83,0.5682827152913023,0.7951266944382394,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.717382, 50.882139)","(4.716645243699362, 50.88080738226716)",163.43,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1200.4,0.1214912887145907,0.44334550541430395,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.735101, 50.876686)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1034.15,0.1626790093063426,0.1626790093063426,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.69352, 50.85851)","(4.696359068959949, 50.85686298080561)",229.24,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1323.73,0.09783418173331562,0.3835945883949864,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.653801, 50.856571)","(4.656036141408594, 50.86027938486191)",484.98,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",2178.93,0.021791837489887545,0.1805823047082304,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.699619, 50.879152)",No responder,10000.0,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",289.84,0.6011194987775799,0.6011194987775799,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.696876, 50.893705)","(4.700212244342237, 50.89775408938988)",436.35,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",1590.33,0.061259695526855604,0.25870773579286305,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.726534, 50.887677)","(4.723151391246806, 50.887427295431564)",236.53,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1975.32,0.031158166646046884,0.27306334733858606,Yes,14.0,0.7,100.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
