duration_Responder,duration_AED,duration_vector
67.3,369.9,547.0
114.8,301.0,509.0
57.5,304.7,759.0
56.5,418.1,702.0
98.9,293.5,530.0
99.0,229.0,541.0
310.4,1210.7,369.0
104.9,487.7,415.0
100.5,1541.5,1185.0
104.7,168.5,493.0
53.7,449.2,930.0
15.3,298.1,1212.0
69.0,195.9,598.0
47.8,107.0,482.0
138.2,1387.8,616.0
14.4,843.2,478.0
69.9,934.6,1297.0
41.7,1375.2,545.0
108.5,1084.3,2010.0
116.0,860.0,788.0
185.7,1362.9,677.0
21.8,592.2,512.0
104.7,207.1,367.0
76.8,528.2,347.0
25.6,635.8,703.0
36.9,173.9,1043.0
