id;number;postal_code;public;available;Opens;Closes;latitude;longitude;Checked
2741;58;3012;Y;;00:00;00:00;508933532;47075612;FALSE
1905;730;3012;Y;couldn't find;00:00;00:00;509281215;47240203;Yes
3076;163;3012;N;;08:30;22:30;5091089775;4713117604;Yes
10696;15;3010;Y;Yes;00:00;24:00:00;508919184;47341489;Yes
4991;2;3010;N;;00:00;00:00;508764651;47275933;No
12629;3230;3001;N;Company;00:00;00:00;508465918;47164403;Yes
12821;3230;3001;N;Company;00:00;00:00;50848691;47182558;Yes
15011;12;3001;Y;Company;08:30;17:00;508510697;47183111;Yes
7943;22;3001;N;Company;00:00;00:00;508508645;47153244;Yes
10570;10;3000;Y;Yes;00:00;24:00:00;508741756;47061156;Yes
7369;13;3000;N;Yes;08:00;17:00;508747859;47081308;Yes
6677;38;3000;Y;Non-Nee;00:00;00:00;508774564;47137954;Yes
11896;112;3018;Y;Yes;00:00;24:00:00;5093065537;4697368507;Yes
14162;21;3000;N;Yes;09:00;20:00;5087729232;4709473233;Yes
10064;140;3000;N;Yes;09:00;18:00;508808153;47132325;Yes
3402;145;3000;N;;13:00;23:00;508809509;4712170787;No
6045;1;3001;N;;00:00;00:00;508553066;4728376;No
6047;1;3001;N;Company;00:00;00:00;508553066;4728376;Yes
3077;8;3012;N;Yes;12:00;24:00:00;5090306861;4701179267;Yes
;;;Y;Yes;00:00;24:00:00;508824145;46968454;Yes
6467;100;3000;Y;Company;00:00;24:00:00;50885645;46775291;Yes
2333;52;3000;Y;Yes;00:00;24:00:00;50880185;4697562;Yes
3083;19;3001;Y;Yes;08:30;15:00;508718562;4676586;Yes
4428;200;3001;Y;Yes;08:00;23:00;50862789;46768;Yes
7371;200;3001;Y;Yes;08:00;23:00;50863056;4678926;Yes
4433;24;3000;N;Yes;07:00;24:00:00;508763292;47031955;Yes
4432;4;3000;N;Yes;09:00;20:00;508740913;47082684;Yes
10485;1;3000;Y;Yes;08:00;18:00;5088265944;471397823;Yes
16139;6;3000;Y;;00:00;00:00;508841416;47146301;No
2384;6;3000;N;;00:00;00:00;508841416;47146301;No
4417;52;3010;Y;Non-Nee;00:00;00:00;508834141;4718263;Yes
3078;288;3010;N;Yes;00:00;24:00:00;508846154;47316232;Yes
;270;3010;Y;;08:30;22:30;5088384852;4730213433;Yes
5080;67;3000;N;Yes;09:30;19:00;508803956;47047368;Yes
9870;165;3000;N;Yes;00:00;24:00:00;508815011;47096178;Yes
3082;61;3010;N;couldn't find;08:30;22:30;5089770742;4725437957;Yes
