,Patient_loc,Responder_loc,duration_Responder,route_Responder,Indirect_Responder_loc,AED_loc,duration_AED,route_indirect_Responder,Vector_loc,duration_Vector,route_Vector,prob_vec,prob_resp,patient_loc,responder_loc,aed_loc,vector_loc
0,,,499.79,,No AED,,10000.0,No AED,,569.95,,0.3675716187661937,0.40121714000396236,"(4.729644, 50.901266)","(4.728547813009303, 50.89674378163999)",No AED,"(4.6658621, 50.8774603)"
1,,,142.02,,No AED,,10000.0,No AED,,239.0,,0.6572531293949698,0.7418408305375565,"(4.691595, 50.887464)","(4.691133189281199, 50.88802603183291)",No AED,"(4.6658621, 50.8774603)"
2,,,63.69,,No AED,,10000.0,No AED,,599.69,,0.3488682992960537,0.681170633619234,"(4.730911, 50.888166)","(4.729770713568294, 50.8879175910749)",No AED,"(4.7243436, 50.8696549)"
3,,,10000.0,,No AED,,10000.0,No AED,,281.43,,0.6100627253290168,0.6100627253290168,"(4.712497, 50.872392)",No responder,No AED,"(4.6998331, 50.8723536)"
4,,,10000.0,,No AED,,10000.0,No AED,,636.23,,0.3271863646507551,0.3271863646507551,"(4.709378, 50.923089)",No responder,No AED,"(4.6658621, 50.8774603)"
5,,,10000.0,,No AED,,10000.0,No AED,,156.73,,0.7594056227704858,0.7594056227704858,"(4.697233, 50.877625)",No responder,No AED,"(4.6953981, 50.8785355)"
6,,,231.71,,No AED,,10000.0,No AED,,339.41,,0.5510074897051052,0.6303002229014988,"(4.711803, 50.911063)","(4.709285526580234, 50.910653082247066)",No AED,"(4.6658621, 50.8774603)"
7,,,212.55,,No AED,,10000.0,No AED,,507.92,,0.40987137614798985,0.5926298768078562,"(4.725478, 50.886022)","(4.7218014687391845, 50.88516720718114)",No AED,"(4.7243436, 50.8696549)"
8,,,10000.0,,No AED,,10000.0,No AED,,199.48,,0.7044847500318063,0.7044847500318063,"(4.700611, 50.877705)",No responder,No AED,"(4.6998331, 50.8723536)"
9,,,15.18,,No AED,,10000.0,No AED,,318.6,,0.5715151207208365,0.834695390310065,"(4.69062, 50.86298)","(4.690313855150714, 50.862952067629934)",No AED,"(4.6998331, 50.8723536)"
10,,,180.92,,No AED,,10000.0,No AED,,308.36,,0.5818847876930865,0.6822272731409651,"(4.724486, 50.875134)","(4.721462071104025, 50.874002647380394)",No AED,"(4.7243436, 50.8696549)"
11,,,153.77,,No AED,,10000.0,No AED,,580.43,,0.36086907181474825,0.614702501281071,"(4.726918, 50.887919)","(4.727787136158674, 50.88937968488812)",No AED,"(4.7243436, 50.8696549)"
12,,,10000.0,,No AED,,10000.0,No AED,,80.14,,0.868726851036591,0.868726851036591,"(4.700164, 50.878931)",No responder,No AED,"(4.6953981, 50.8785355)"
13,,,239.6,,No AED,,10000.0,No AED,,256.16,,0.6377434697572768,0.6510646060461254,"(4.683485, 50.878128)","(4.682931405712956, 50.87591304239809)",No AED,"(4.6731993, 50.8780791)"
14,,,10000.0,,No AED,,10000.0,No AED,,441.59,,0.46050303384437313,0.46050303384437313,"(4.699727, 50.882617)",No responder,No AED,"(4.6658621, 50.8774603)"
15,,,330.47,,No AED,,10000.0,No AED,,624.78,,0.33383145151994653,0.48204604068282536,"(4.723392, 50.890213)","(4.719763199489416, 50.887420692657884)",No AED,"(4.6658621, 50.8774603)"
16,,,10000.0,,No AED,,10000.0,No AED,,546.54,,0.3829966880885962,0.3829966880885962,"(4.712402, 50.925422)",No responder,No AED,"(4.6658621, 50.8774603)"
17,,,72.79,,No AED,,10000.0,No AED,,382.31,,0.5110235285620328,0.7520527855664558,"(4.692352, 50.86044)","(4.692060138166619, 50.86134932265042)",No AED,"(4.6998331, 50.8723536)"
18,,,10000.0,,No AED,,10000.0,No AED,,479.24,,0.4310420806476852,0.4310420806476852,"(4.711075, 50.879882)",No responder,No AED,"(4.6998331, 50.8723536)"
19,,,10000.0,,No AED,,10000.0,No AED,,879.58,,0.21340787476377007,0.21340787476377007,"(4.756603, 50.902174)",No responder,No AED,"(4.6658621, 50.8774603)"
20,,,10000.0,,No AED,,10000.0,No AED,,169.77,,0.7422140657894931,0.7422140657894931,"(4.703266, 50.878595)",No responder,No AED,"(4.6998331, 50.8723536)"
21,,,10000.0,,No AED,,10000.0,No AED,,234.16,,0.6628629829038897,0.6628629829038897,"(4.659588, 50.864336)",No responder,No AED,"(4.6658621, 50.8774603)"
22,,,10000.0,,No AED,,10000.0,No AED,,331.91,,0.558312290625553,0.558312290625553,"(4.708307, 50.870869)",No responder,No AED,"(4.6998331, 50.8723536)"
23,,,520.78,,No AED,,10000.0,No AED,,469.79,,0.43825459186116134,0.43825459186116134,"(4.726803, 50.899691)","(4.719522848265306, 50.898423594671804)",No AED,"(4.6658621, 50.8774603)"
24,,,10000.0,,No AED,,10000.0,No AED,,718.42,,0.28321422346762204,0.28321422346762204,"(4.703247, 50.92814)",No responder,No AED,"(4.6658621, 50.8774603)"
25,,,289.3,,No AED,,10000.0,No AED,,225.74,,0.672736618663644,0.672736618663644,"(4.659633, 50.864072)","(4.657105118490197, 50.863648510930496)",No AED,"(4.6658621, 50.8774603)"
26,,,92.38,,No AED,,10000.0,No AED,,350.9,,0.540001470791883,0.745680059136618,"(4.715466, 50.881037)","(4.715898028391279, 50.881345198364876)",No AED,"(4.6998331, 50.8723536)"
27,,,10000.0,,No AED,,10000.0,No AED,,423.06,,0.4757337186399867,0.4757337186399867,"(4.672292, 50.872125)",No responder,No AED,"(4.6731993, 50.8780791)"
28,,,235.7,,No AED,,10000.0,No AED,,529.76,,0.39444991185077116,0.569400172288973,"(4.724449, 50.930109)","(4.721617758943576, 50.92822332351649)",No AED,"(4.6658621, 50.8774603)"
29,,,76.78,,No AED,,10000.0,No AED,,472.92,,0.4358524177144097,0.714674431352222,"(4.722442, 50.926514)","(4.721704694997654, 50.926328525686955)",No AED,"(4.6658621, 50.8774603)"
30,,,154.97,,No AED,,10000.0,No AED,,427.61,,0.47194782724338424,0.6632950994130301,"(4.663458, 50.872624)","(4.663676278024919, 50.87069885007382)",No AED,"(4.6658621, 50.8774603)"
31,,,10000.0,,No AED,,10000.0,No AED,,349.98,,0.540874563300399,0.540874563300399,"(4.714931, 50.880851)",No responder,No AED,"(4.6998331, 50.8723536)"
32,,,77.87,,No AED,,10000.0,No AED,,339.26,,0.551152644904416,0.7638102178377295,"(4.667447, 50.869055)","(4.667714439807753, 50.868629272611884)",No AED,"(4.6658621, 50.8774603)"
33,,,127.05,,No AED,,10000.0,No AED,,326.13,,0.5640078648238792,0.7231312468829325,"(4.693455, 50.881362)","(4.691705017616131, 50.88192658682308)",No AED,"(4.6953981, 50.8785355)"
34,,,39.9,,No AED,,10000.0,No AED,,313.93,,0.5762211344378851,0.8112516151469273,"(4.716201, 50.87523)","(4.7160088984440955, 50.87571541193639)",No AED,"(4.6998331, 50.8723536)"
35,,,10000.0,,No AED,,10000.0,No AED,,390.69,,0.503558695971706,0.503558695971706,"(4.721426, 50.900153)",No responder,No AED,"(4.6658621, 50.8774603)"
36,,,10000.0,,No AED,,10000.0,No AED,,435.31,,0.46560944310695607,0.46560944310695607,"(4.706348, 50.881595)",No responder,No AED,"(4.6658621, 50.8774603)"
37,,,6.44,,No AED,,10000.0,No AED,,522.73,,0.39934947330634357,0.7607845319766537,"(4.733287, 50.900281)","(4.733505270955656, 50.900285558057966)",No AED,"(4.6658621, 50.8774603)"
38,,,69.39,,No AED,,10000.0,No AED,,189.97,,0.7163481747311604,0.8327162839466151,"(4.69687, 50.876261)","(4.695526329369556, 50.87600162715797)",No AED,"(4.6953981, 50.8785355)"
