,CD_REFNIS,CD_SECTOR,TOTAL,DT_STRT_SECTOR,DT_STOP_SECTOR,OPPERVLAKKTE IN HM²,TX_DESCR_SECTOR_NL,TX_DESCR_SECTOR_FR,TX_DESCR_NL,TX_DESCR_FR,TX_DESCR_SECTOR_NLL,TX_DESCR_SECTOR_FRR,SECTOR
4180,24062,24062A00-,769,01Mar1981,31Dec9999,10.79176704,LEUVEN-CENTRUM,LEUVEN-CENTRUM,Leuven,Louvain,LEUVEN-CENTRUM,LEUVEN-CENTRUM,A00-
4181,24062,24062A01-,828,01Mar1981,31Dec9999,12.6511072,LEI - VISMARKT,LEI - VISMARKT,Leuven,Louvain,LEI - VISMARKT,LEI - VISMARKT,A01-
4182,24062,24062A02-,359,01Mar1981,31Dec9999,9.982583387,LEUVEN STADSPARK,LEUVEN STADSPARK,Leuven,Louvain,LEUVEN STADSPARK,LEUVEN STADSPARK,A02-
4183,24062,24062A03-,708,01Mar1981,31Dec9999,13.67460651,DAMIAANPLEIN,DAMIAANPLEIN,Leuven,Louvain,DAMIAANPLEIN,DAMIAANPLEIN,A03-
4184,24062,24062A04-,333,01Mar1981,31Dec9999,11.88294627,LEUVEN KLINIEK -O.L.VROUW-KERK,LEUVEN KLINIEK -O.L.VROUW-KERK,Leuven,Louvain,LEUVEN KLINIEK -O.L.VROUW-KERK,LEUVEN KLINIEK -O.L.VROUW-KERK,A04-
4185,24062,24062A05-,1096,01Mar1981,31Dec9999,11.33389019,LEUVEN MECHELSE STRAAT,LEUVEN MECHELSE STRAAT,Leuven,Louvain,LEUVEN MECHELSE STRAAT,LEUVEN MECHELSE STRAAT,A05-
4186,24062,24062A07-,1755,01Mar1981,31Dec9999,23.96978897,LEUVEN VAART,LEUVEN VAART,Leuven,Louvain,LEUVEN VAART,LEUVEN VAART,A07-
4187,24062,24062A10-,424,01Mar1981,31Dec9999,4.169398345,LEUVEN DIESTSE STRAAT,LEUVEN DIESTSE STRAAT,Leuven,Louvain,LEUVEN DIESTSE STRAAT,LEUVEN DIESTSE STRAAT,A10-
4188,24062,24062A11-,749,01Mar1981,31Dec9999,9.350927648,VITAL DECOSTER,VITAL DECOSTER,Leuven,Louvain,VITAL DECOSTER,VITAL DECOSTER,A11-
4189,24062,24062A12-,1371,01Mar1981,31Dec9999,5.673307979,SINT-MAARTENSDAL,SINT-MAARTENSDAL,Leuven,Louvain,SINT-MAARTENSDAL,SINT-MAARTENSDAL,A12-
4190,24062,24062A13-,1235,01Mar1981,31Dec9999,16.46138358,VAN MONSSTRAAT,VAN MONSSTRAAT,Leuven,Louvain,VAN MONSSTRAAT,VAN MONSSTRAAT,A13-
4191,24062,24062A14-,57,01Mar1981,31Dec9999,6.650832591,LEUVEN DIESTSEVEST,LEUVEN DIESTSEVEST,Leuven,Louvain,LEUVEN DIESTSEVEST,LEUVEN DIESTSEVEST,A14-
4192,24062,24062A15-,966,01Mar1981,31Dec9999,10.73175219,KARDINAALSTRAAT,KARDINAALSTRAAT,Leuven,Louvain,KARDINAALSTRAAT,KARDINAALSTRAAT,A15-
4193,24062,24062A17-,0,01Mar1981,31Dec9999,9.916086904,LEUVEN STATION,LEUVEN STATION,Leuven,Louvain,LEUVEN STATION,LEUVEN STATION,A17-
4194,24062,24062A20-,564,01Mar1981,31Dec9999,6.771842613,BONDGENOTENLAAN,BONDGENOTENLAAN,Leuven,Louvain,BONDGENOTENLAAN,BONDGENOTENLAAN,A20-
4195,24062,24062A21-,205,01Mar1981,31Dec9999,3.052201026,LEPELSTRAAT,LEPELSTRAAT,Leuven,Louvain,LEPELSTRAAT,LEPELSTRAAT,A21-
4196,24062,24062A22-,321,01Mar1981,31Dec9999,6.266877272,MARIA-THERESIASTRAAT,MARIA-THERESIASTRAAT,Leuven,Louvain,MARIA-THERESIASTRAAT,MARIA-THERESIASTRAAT,A22-
4197,24062,24062A23-,291,01Mar1981,31Dec9999,7.552003662,LADEUZE,LADEUZE,Leuven,Louvain,LADEUZE,LADEUZE,A23-
4198,24062,24062A30-,544,01Mar1981,31Dec9999,5.212745895,TIENSESTRAAT,TIENSESTRAAT,Leuven,Louvain,TIENSESTRAAT,TIENSESTRAAT,A30-
4199,24062,24062A31-,330,01Mar1981,31Dec9999,5.390588688,BLIJDE INKOMSTSTRAAT,BLIJDE INKOMSTSTRAAT,Leuven,Louvain,BLIJDE INKOMSTSTRAAT,BLIJDE INKOMSTSTRAAT,A31-
