,patient_loc,responder_loc,duration_Responder,Indirect_Responder_loc,aed_loc,duration_AED,vector_loc,duration_Vector,prob_vec,prob_resp
0,"(4.724486, 50.875134)","(4.725817453276997, 50.875349362657275)",65.72,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",641.37,0.3242465057909876,0.6652212426386007
1,"(4.663458, 50.872624)","(4.660937251444015, 50.871331266685274)",178.25,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",621.19,0.33594259605419413,0.5839916730948804
2,"(4.706287, 50.868107)",No responder,10000.0,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",618.41,0.3375865777840803,0.3375865777840803
3,"(4.729334, 50.886379)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1978.53,0.030983028750326103,0.030983028750326103
4,"(4.7093, 50.870361)",No responder,10000.0,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",750.8,0.2675600498019277,0.2675600498019277
5,"(4.710888, 50.862229)","(4.711435428589263, 50.86522917980852)",359.02,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1305.21,0.1010681762621788,0.3293023902577512
6,"(4.741317, 50.886149)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1968.98,0.03150699160706926,0.03150699160706926
7,"(4.674596, 50.871597)",No responder,10000.0,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",779.19,0.25454838667826796,0.25454838667826796
8,"(4.702134, 50.897263)","(4.701647176972733, 50.896226876866216)",101.56,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",1815.57,0.04124784031599309,0.3504758990429998
9,"(4.70586, 50.881605)",No responder,10000.0,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",716.58,0.2841307843631432,0.2841307843631432
10,"(4.735139, 50.879159)","(4.734138207148869, 50.8785899948293)",65.54,"(4.73661970547018, 50.88230946718583)","(4.7346682, 50.8825443)",533.48,"(4.7243436, 50.8696549)",1102.01,0.14440419076859629,0.7028300525291582
11,"(4.657334, 50.861426)","(4.664837837823092, 50.86124372960506)",408.72,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",1671.87,0.053087271447934674,0.2569282802435785
12,"(4.712731, 50.879035)",No responder,10000.0,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1008.44,0.170191789070949,0.170191789070949
13,"(4.728813, 50.898917)","(4.7307689866136835, 50.896206786036544)",364.76,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",4760.57,0.00023413754087790495,0.056581690109276106
14,"(4.711828, 50.871651)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",859.22,0.22117573678397195,0.22117573678397195
15,"(4.693275, 50.875681)",No responder,10000.0,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",321.83,0.5682827152913023,0.5682827152913023
16,"(4.717382, 50.882139)","(4.71805621082145, 50.88140784068697)",72.79,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1200.4,0.1214912887145907,0.49645869989570485
17,"(4.735101, 50.876686)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1034.15,0.1626790093063426,0.1626790093063426
18,"(4.69352, 50.85851)","(4.695076051429948, 50.85738056992067)",107.49,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1323.73,0.09783418173331562,0.44655986761273636
19,"(4.653801, 50.856571)","(4.653206108535122, 50.85923764552888)",384.53,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",2178.93,0.021791837489887545,0.20470786807692812
20,"(4.699619, 50.879152)",No responder,10000.0,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",289.84,0.6011194987775799,0.6011194987775799
21,"(4.696876, 50.893705)","(4.700076732022786, 50.89125053258206)",394.78,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",1590.33,0.061259695526855604,0.2724876015910623
22,"(4.726534, 50.887677)","(4.727605969880744, 50.88986512294384)",259.81,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1975.32,0.031158166646046884,0.26524186351088835
