Patient_loc,Responder_lon,Responder_lat,duration_Responder,AED_lon,AED_lat,duration_AED,Vector_lon,Vector_lat,duration_Vector
"(4.70821, 50.861866)",4.707417759118958,50.86158907426505,42.7,4.709217936038521,50.86188133053633,506.7,4.6998331,50.8723536,339.2
"(4.716699, 50.873174)",4.718282042343758,50.8728752379742,89.8,4.714927796661565,50.87449190397117,272.70000000000005,4.7243436,50.8696549,258.4
"(4.703247, 50.92814)",4.702873318460605,50.92779326712309,27.8,4.70035800921718,50.92777224567803,417.29999999999995,4.6658621,50.8774603,703.8
"(4.730246, 50.87455)",4.727875303333997,50.87403174279734,152.2,4.728344832803041,50.87612890716333,405.1,4.7243436,50.8696549,475.5
"(4.696672, 50.879098)",4.695378183744483,50.87736812656128,186.8,4.698314747213851,50.881001880295294,423.0,4.6953981,50.8785355,35.7
"(4.705947, 50.886687)",4.706434401923882,50.88760198741612,85.8,4.704185689148825,50.886567811790194,290.79999999999995,4.6998331,50.8723536,511.8
"(4.690584, 50.89003)",4.693016348305057,50.88685118281421,393.9,No AED,No AED,No AED,4.6731993,50.8780791,327.8
"(4.692755, 50.865466)",4.694197682845325,50.86380919850373,182.2,4.694940017938113,50.86687056710361,495.0,4.6998331,50.8723536,198.7
"(4.700683, 50.87929)",4.700664507073197,50.87835632401856,130.3,4.700855354559326,50.87892229583287,88.6,4.6953981,50.8785355,641.1
"(4.681497, 50.854151)",4.683062273248956,50.85375406776478,176.3,No AED,No AED,No AED,4.6998331,50.8723536,470.7
"(4.698357, 50.880213)",4.698314747213851,50.881001880295294,75.3,4.696730053075902,50.882382633151096,312.5,4.6953981,50.8785355,469.2
"(4.684785, 50.879319)",4.6851848756782895,50.87891457921526,46.2,4.683987795059644,50.87906876688293,667.5,4.6716518,50.8791702,310.9
"(4.700753, 50.887833)",4.701133917394015,50.88846634685854,88.8,4.699588492675993,50.88583548079815,383.9,4.6731993,50.8780791,560.5
"(4.699796, 50.87634)",4.70169295400302,50.87741818931234,177.8,4.700664507073197,50.87835632401856,199.2,4.6998331,50.8723536,128.7
"(4.700977, 50.883089)",4.700666428528709,50.882856691953606,17.6,4.700560559403117,50.88470499235001,222.3,4.6953981,50.8785355,528.9
"(4.695717, 50.855068)",4.695011726375382,50.8570407082288,168.0,No AED,No AED,No AED,4.6998331,50.8723536,385.0
"(4.67431, 50.877462)",4.673423080691532,50.87249530915503,589.6,4.684105541293935,50.879821807885,997.8,4.6731993,50.8780791,26.4
"(4.698691, 50.865606)",4.700005859692849,50.86640503131803,103.9,4.697730980549709,50.86663024376385,842.7,4.6998331,50.8723536,206.7
"(4.688853, 50.879023)",4.688315750971697,50.880151442745166,97.8,4.6868823614657735,50.87833506081048,944.8,4.6953981,50.8785355,330.5
"(4.694036, 50.8606)",4.696316055830535,50.86082533770749,222.8,No AED,No AED,No AED,4.6998331,50.8723536,331.4
"(4.736733, 50.862799)",4.737626636430327,50.86227646846436,66.9,No AED,No AED,No AED,4.7243436,50.8696549,394.8
"(4.733566, 50.898585)",4.734036653322832,50.89793487853698,73.2,No AED,No AED,No AED,4.6658621,50.8774603,570.6
"(4.738449, 50.901604)",4.73555225547552,50.89976349361579,319.6,No AED,No AED,No AED,4.6658621,50.8774603,630.4
"(4.698003, 50.868334)",4.696955420921489,50.867518518370886,83.2,4.698600311401724,50.86929636783103,724.1,4.6998331,50.8723536,106.1
"(4.712916, 50.869559)",4.713376869361619,50.871229558529045,130.4,4.715004703028209,50.87176040375604,497.6,4.6998331,50.8723536,281.2
"(4.693243, 50.885472)",4.693724725521275,50.88538465467824,70.3,4.694288715624159,50.88299521829443,516.7,4.6953981,50.8785355,422.7
"(4.734176, 50.878237)",4.734171335481372,50.878541240232906,20.6,4.735656769071594,50.88054322042438,568.6,4.7243436,50.8696549,524.3
"(4.715765, 50.877798)",4.7159317461348245,50.87715573805997,70.9,4.717074740511647,50.87625044655441,178.2,4.6998331,50.8723536,502.9
"(4.700611, 50.877705)",4.700938376405669,50.87842783739427,65.0,4.700664507073197,50.87835632401856,56.0,4.6998331,50.8723536,199.5
"(4.712741, 50.876974)",4.711620778319978,50.87659775621504,54.8,4.714295321360695,50.877010221660754,120.69999999999999,4.6998331,50.8723536,473.8
