Patient_loc,Responder_lon,Responder_lat,duration_Responder,AED_lon,AED_lat,duration_AED,Vector_lon,Vector_lat,duration_Vector
"(4.700399, 50.923948)",4.69914469642084,50.92431515149252,79.5,4.70035800921718,50.92777224567803,384.9,4.6658621,50.8774603,622.0
"(4.71539, 50.88122)",4.717256704947987,50.88178421058427,197.7,4.7119157010453465,50.88027351684244,285.1,4.6998331,50.8723536,353.9
"(4.71745, 50.874271)",4.718282042343758,50.8728752379742,169.1,4.717074740511647,50.87625044655441,312.6,4.7243436,50.8696549,337.3
"(4.69952, 50.866911)",4.700005859692849,50.86640503131803,46.5,4.697730980549709,50.86663024376385,921.4,4.6998331,50.8723536,327.8
"(4.711828, 50.871651)",4.712135979478792,50.87171382732177,147.4,4.7122422915786215,50.87423082893151,445.8,4.6998331,50.8723536,275.6
"(4.730961, 50.850728)",No responder,No responder,No responder,No AED,No AED,No AED,4.7243436,50.8696549,385.2
"(4.663558, 50.876016)",4.663252166598372,50.870960069853794,407.6,4.658250628579007,50.87870375704966,800.0,4.6658621,50.8774603,479.4
"(4.735979, 50.888449)",4.734357777445736,50.88831115791551,81.5,4.734093765048794,50.89029139089859,557.5,4.7243436,50.8696549,645.1
"(4.728948, 50.868191)",4.725879985878399,50.868626463091886,153.9,No AED,No AED,No AED,4.7243436,50.8696549,88.3
"(4.698691, 50.865606)",4.700005859692849,50.86640503131803,103.9,4.697730980549709,50.86663024376385,842.7,4.6998331,50.8723536,206.7
"(4.674596, 50.871597)",4.673423080691532,50.87249530915503,93.7,4.67696566571986,50.87198991523582,344.0,4.6658621,50.8774603,465.2
"(4.735139, 50.879159)",4.734171335481372,50.878541240232906,68.0,4.734831000183986,50.88197277077084,353.5,4.7243436,50.8696549,553.8
"(4.70586, 50.881605)",4.705468242301395,50.88193804083233,106.3,4.705617531495165,50.88245288862306,207.70000000000002,4.6953981,50.8785355,632.4
"(4.702134, 50.897263)",4.7020631778651465,50.89815121647287,71.0,4.70279366864169,50.89640747113232,429.6,4.6731993,50.8780791,487.0
"(4.657334, 50.861426)",4.656214531549056,50.8615582195442,57.2,No AED,No AED,No AED,4.6658621,50.8774603,294.1
"(4.712731, 50.879035)",4.713310863065455,50.880054025681936,102.1,4.71234449848251,50.87857545374571,40.8,4.6998331,50.8723536,441.2
"(4.711828, 50.871651)",4.712135979478792,50.87171382732177,147.4,4.7122422915786215,50.87423082893151,445.8,4.6998331,50.8723536,275.6
"(4.711256, 50.871245)",4.712135979478792,50.87171382732177,190.8,4.7122422915786215,50.87423082893151,489.2,4.6998331,50.8723536,281.0
"(4.728813, 50.898917)",4.72987082425907,50.89766520931862,93.1,4.725013627103828,50.90051436092156,882.0,4.6658621,50.8774603,505.7
"(4.729334, 50.886379)",4.7283582348747615,50.88683280875952,61.2,4.730357687953379,50.886940251601146,168.2,4.7243436,50.8696549,556.6
"(4.706287, 50.868107)",4.706241218324736,50.86805597026055,3.8,4.707390912008558,50.86938446911878,635.0,4.6998331,50.8723536,274.5
"(4.724486, 50.875134)",4.724625143199426,50.87513848551106,5.1,4.724850626983553,50.87328146848141,231.7,4.7243436,50.8696549,308.7
"(4.663458, 50.872624)",4.663252166598372,50.870960069853794,134.9,4.660109307606777,50.87070684363414,1127.2,4.6658621,50.8774603,435.0
"(4.724385, 50.888254)",4.724647580838988,50.88822593257641,9.5,4.7248687502184685,50.8866165906159,701.0999999999999,4.7243436,50.8696549,528.6
"(4.710888, 50.862229)",4.709217936038521,50.86188133053633,92.9,4.711329748432082,50.86241750357891,219.6,4.6998331,50.8723536,346.2
"(4.741317, 50.886149)",4.741724367442914,50.886076680096735,90.6,4.738254000692086,50.88458157612271,1128.2,4.7243436,50.8696549,598.5
"(4.723903, 50.92664)",4.721282817827664,50.92766379370451,214.4,4.722479196387655,50.92902376297743,387.9,4.6658621,50.8774603,524.3
"(4.7093, 50.870361)",4.708246546225223,50.86995842795629,134.2,4.708276304472045,50.87270707706772,550.8,4.6998331,50.8723536,310.4
"(4.715466, 50.881037)",4.717256704947987,50.88178421058427,188.0,4.7119157010453465,50.88027351684244,225.5,4.6998331,50.8723536,352.6
"(4.693275, 50.875681)",4.69412944880058,50.876044634170725,93.3,4.694854016006721,50.87707446098071,994.6,4.6998331,50.8723536,286.8
