Patient_loc,Responder_lon,Responder_lat,duration_Responder,AED_lon,AED_lat,duration_AED,Vector_lon,Vector_lat,duration_Vector
"(4.695989, 50.865144)",4.696895344540598,50.86642002354444,125.1,4.694940017938113,50.86687056710361,584.2,4.6998331,50.8723536,187.6
"(4.726644, 50.873674)",4.727875303333997,50.87403174279734,67.3,4.724850626983553,50.87328146848141,241.2,4.7243436,50.8696549,356.1
"(4.72935, 50.900387)",4.729699899919106,50.90163341949113,110.3,4.725013627103828,50.90051436092156,908.3,4.6658621,50.8774603,563.4
"(4.690636, 50.876538)",4.689319259185679,50.8774441334576,210.5,4.688348812886089,50.87549459784874,1052.4,4.6998331,50.8723536,256.3
"(4.704618, 50.887542)",4.706434401923882,50.88760198741612,116.3,4.704185689148825,50.886567811790194,430.20000000000005,4.6731993,50.8780791,547.8
"(4.722256, 50.880999)",4.723477793833345,50.88076879808467,63.7,4.720799584948981,50.88265352336976,628.5999999999999,4.7243436,50.8696549,507.5
"(4.73756, 50.862344)",4.737626636430327,50.86227646846436,6.3,No AED,No AED,No AED,4.7243436,50.8696549,374.6
"(4.698691, 50.865606)",4.700005859692849,50.86640503131803,103.9,4.697730980549709,50.86663024376385,842.7,4.6998331,50.8723536,206.7
"(4.722139, 50.86866)",4.721645465891631,50.868754885485885,22.3,No AED,No AED,No AED,4.7243436,50.8696549,98.5
"(4.736791, 50.863533)",4.737626636430327,50.86227646846436,170.0,4.740303319385004,50.862470289778784,1428.0,4.7243436,50.8696549,366.7
"(4.714931, 50.880851)",4.713310863065455,50.880054025681936,148.2,4.7119157010453465,50.88027351684244,178.89999999999998,4.6998331,50.8723536,351.6
"(4.696876, 50.893705)",4.696756187059311,50.89331582230217,30.6,No AED,No AED,No AED,4.6731993,50.8780791,364.5
"(4.726534, 50.887677)",4.7248687502184685,50.8866165906159,133.4,4.7283582348747615,50.88683280875952,338.20000000000005,4.7243436,50.8696549,567.6
"(4.717382, 50.882139)",4.717256704947987,50.88178421058427,27.0,4.717857024753912,50.8839795046322,194.3,4.7243436,50.8696549,342.0
"(4.735101, 50.876686)",4.734328128807337,50.876241443526645,60.5,4.734171335481372,50.878541240232906,939.3,4.7243436,50.8696549,541.5
"(4.699619, 50.879152)",4.700664507073197,50.87835632401856,153.2,4.700855354559326,50.87892229583287,128.1,4.6953981,50.8785355,80.1
"(4.653801, 50.856571)",4.651100864924869,50.85575579491075,217.7,No AED,No AED,No AED,4.6658621,50.8774603,355.1
"(4.69352, 50.85851)",4.693050209493497,50.85813254930312,165.8,No AED,No AED,No AED,4.6998331,50.8723536,377.0
"(4.68137, 50.86165)",4.684569969116002,50.86301652845065,216.5,4.686472640434766,50.86163467019237,531.8,4.6998331,50.8723536,373.2
"(4.684591, 50.885531)",4.683630808564218,50.88495118695311,93.8,4.683907323134871,50.88277107348426,678.7,4.6731993,50.8780791,499.6
"(4.695739, 50.856026)",4.695011726375382,50.8570407082288,80.5,No AED,No AED,No AED,4.6998331,50.8723536,356.6
