Patient_loc,Responder_lon,Responder_lat,duration_Responder,AED_lon,AED_lat,duration_AED,Vector_lon,Vector_lat,duration_Vector
"(4.70821, 50.861866)",4.709183668090811,50.86241750357891,67.3,4.70967301682634,50.86283873735199,516.8,4.6998331,50.8723536,339.2
"(4.716699, 50.873174)",4.716120295131644,50.87403799647429,127.6,4.715004703028209,50.87284899842961,322.5,4.7243436,50.8696549,258.4
"(4.703247, 50.92814)",4.702441191244205,50.92777224567803,57.5,4.701941140387981,50.92574482160425,304.7,4.6658621,50.8774603,703.8
"(4.730246, 50.87455)",4.731371154260156,50.874638192534746,56.5,4.728077069010881,50.87490284361223,542.1,4.7243436,50.8696549,475.5
"(4.696672, 50.879098)",4.695131289250242,50.87872969784904,98.9,4.69842867219676,50.87927278196763,358.20000000000005,4.6953981,50.8785355,35.7
"(4.705947, 50.886687)",4.706796876850655,50.88597045956476,99.0,4.70474206917397,50.88593188220241,229.0,4.6998331,50.8723536,511.8
"(4.690584, 50.89003)",4.694122779072315,50.89135860107025,310.4,No AED,No AED,No AED,4.6731993,50.8780791,327.8
"(4.692755, 50.865466)",4.6931637423513255,50.86497188959599,104.9,4.693832152123496,50.86407228443693,718.1,4.6998331,50.8723536,198.7
"(4.700683, 50.87929)",4.700664507073197,50.87930620831224,1.3,4.700471419435447,50.87917227212231,39.0,4.6953981,50.8785355,641.1
"(4.681497, 50.854151)",4.680437384192222,50.854874547423215,100.5,No AED,No AED,No AED,4.6998331,50.8723536,470.7
"(4.698357, 50.880213)",4.69842867219676,50.87927278196763,104.7,4.699990475155731,50.880271980745086,248.4,4.6953981,50.8785355,469.2
"(4.684785, 50.879319)",4.684411131782718,50.879821807885,73.5,4.685880025014762,50.87876174687302,638.3,4.6716518,50.8791702,310.9
"(4.700753, 50.887833)",4.701023062946517,50.88765365647789,15.3,4.701133917394015,50.88697222804331,432.29999999999995,4.6731993,50.8780791,560.5
"(4.699796, 50.87634)",4.700243516435172,50.87585367193872,69.0,4.7007499567101725,50.87741818931234,195.9,4.6998331,50.8723536,128.7
"(4.700977, 50.883089)",4.701044118089551,50.882520684667206,47.8,4.701419020769877,50.88192135569916,117.9,4.6953981,50.8785355,528.9
"(4.695717, 50.855068)",4.694432436422986,50.85615365255421,138.2,No AED,No AED,No AED,4.6998331,50.8723536,385.0
"(4.67431, 50.877462)",4.67176699992117,50.87412210372045,438.5,4.672686726195144,50.873459774361415,1029.4,4.6731993,50.8780791,26.4
"(4.698691, 50.865606)",4.697730980549709,50.866092038650976,14.4,4.69823156971758,50.86454275875596,938.5999999999999,4.6998331,50.8723536,206.7
"(4.688853, 50.879023)",4.688686997450124,50.87960904010827,69.9,4.687537292969413,50.87874522922053,1053.1,4.6953981,50.8785355,330.5
"(4.694036, 50.8606)",4.694644126514463,50.860305178297615,41.7,No AED,No AED,No AED,4.6998331,50.8723536,331.4
"(4.736733, 50.862799)",4.736849892126381,50.86347962585864,108.5,No AED,No AED,No AED,4.7243436,50.8696549,394.8
"(4.733566, 50.898585)",4.732766470755837,50.89759799518063,116.0,No AED,No AED,No AED,4.6658621,50.8774603,570.6
"(4.738449, 50.901604)",4.735387275046584,50.90094228232245,185.7,No AED,No AED,No AED,4.6658621,50.8774603,630.4
"(4.698003, 50.868334)",4.697632710908837,50.8684230306322,21.8,4.69839087574385,50.869884641904775,629.7,4.6998331,50.8723536,106.1
"(4.712916, 50.869559)",4.713199078517793,50.87074673400558,104.7,4.71127648223819,50.86844198648809,207.1,4.6998331,50.8723536,281.2
"(4.693243, 50.885472)",4.692676309500147,50.88471530853533,76.8,4.692743059043681,50.88384196845661,614.0,4.6953981,50.8785355,422.7
"(4.734176, 50.878237)",4.7338647354405845,50.87873285003789,25.6,4.734472996366415,50.87866410106245,757.6,4.7243436,50.8696549,524.3
"(4.715765, 50.877798)",4.715152893102597,50.87804774365503,36.9,4.7145957206018725,50.87678704192316,213.2,4.6998331,50.8723536,502.9
"(4.700611, 50.877705)",4.7007499567101725,50.87741818931234,25.3,4.700232569044397,50.87696412436559,92.0,4.6998331,50.8723536,199.5
"(4.712741, 50.876974)",4.713007898945825,50.87786488848091,82.2,4.71432106950603,50.877010221660754,121.9,4.6998331,50.8723536,473.8
