id,type,address,number,postal_code,municipality,province,location,public,available,hours,complete_address,latitude,longitude
318.0,,Interleuvenlaan ,58,3001.0,Leuven,Vlaams-Brabant,,Y,,,"58 Interleuvenlaan, Leuven, Vlaams-Brabant, Belgium",50.8476423,4.737563
323.0,,Interleuven,58,3001.0,Leuven,Vlaams-Brabant,,Y,,,"58 Interleuven, Leuven, Vlaams-Brabant, Belgium",50.8826624,4.6967705
385.0,,Kolonel Begaultlaan ,15,3012.0,Wilsele,Vlaams-Brabant,,Y,,,"15 Kolonel Begaultlaan, Wilsele, Vlaams-Brabant, Belgium",50.89191539999999,4.7058934
419.0,,Katjeswilgenlaan ,,3010.0,Kessel-Lo,Vlaams-Brabant,,N,,,"Katjeswilgenlaan, Kessel-Lo, Vlaams-Brabant, Belgium",50.8936461,4.7186837
427.0,,Tervuursevest,101,3001.0,Heverlee,Vlaams-Brabant,,Y,,,"101 Tervuursevest, Heverlee, Vlaams-Brabant, Belgium",50.869499,4.6931907
474.0,,Vlamingenstraat,83,3000.0,Leuven,Vlaams-Brabant,,Y,,,"83 Vlamingenstraat, Leuven, Vlaams-Brabant, Belgium",50.8743307,4.7017286
535.0,,Site Philips - Ubicenter,208,3000.0,Leuven,Vlaams-Brabant,,N,,,"208 Site Philips - Ubicenter, Leuven, Vlaams-Brabant, Belgium",50.8670637,4.7127525
576.0,,Herestraat,19,3000.0,Leuven,Vlaams-Brabant,,N,,,"19 Herestraat, Leuven, Vlaams-Brabant, Belgium",50.8778935,4.682384799999999
606.0,,Groot Begijnhof,14,3000.0,Leuven,Vlaams-Brabant,,Y,,,"14 Groot Begijnhof, Leuven, Vlaams-Brabant, Belgium",50.8713027,4.6964705
806.0,,Philipssite,5,3001.0,Leuven,Vlaams-Brabant,,Y,,,"5 Philipssite, Leuven, Vlaams-Brabant, Belgium",50.867102,4.7127446
994.0,,Provincieplein,1,3010.0,Leuven,Vlaams-Brabant,,Y,,,"1 Provincieplein, Leuven, Vlaams-Brabant, Belgium",50.8769717,4.7168358
1052.0,,Vaartstraat,46,3000.0,Leuven,Vlaams-Brabant,,Y,,,"46 Vaartstraat, Leuven, Vlaams-Brabant, Belgium",50.88228909999999,4.701441099999999
1230.0,,Kolonel Begaultlaan ,,3012.0,Leuven,Vlaams-Brabant,,Y,,,"Kolonel Begaultlaan, Leuven, Vlaams-Brabant, Belgium",50.8958652,4.7062523
