CD_REFNIS,CD_SECTOR,TOTAL,DT_STRT_SECTOR,DT_STOP_SECTOR,OPPERVLAKKTE IN HM²,TX_DESCR_SECTOR_NL,TX_DESCR_SECTOR_FR,TX_DESCR_NL,TX_DESCR_FR,TX_DESCR_SECTOR_NLL,TX_DESCR_SECTOR_FRR,SECTOR
11001,11001A00-,2489,01Mar1981,31Dec9999,53.15895604,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,Aartselaar,Aartselaar,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,A00-
11001,11001A01-,2827,01Mar1981,31Dec9999,67.11575847,DE LEEUWERIK,DE LEEUWERIK,Aartselaar,Aartselaar,DE LEEUWERIK,DE LEEUWERIK,A01-
11001,11001A020,761,01Mar1981,31Dec9999,28.08481577,BUERSTEDE,BUERSTEDE,Aartselaar,Aartselaar,BUERSTEDE,BUERSTEDE,A020
11001,11001A030,466,01Mar1981,31Dec9999,42.81254049,YSSELAAR,YSSELAAR,Aartselaar,Aartselaar,YSSELAAR,YSSELAAR,A030
11001,11001A042,363,01Mar1981,31Dec9999,25.56236571,KLEINE GRIPPE,KLEINE GRIPPE,Aartselaar,Aartselaar,KLEINE GRIPPE,KLEINE GRIPPE,A042
11001,11001A052,2195,01Mar1981,31Dec9999,33.72690521,LEUG,LEUG,Aartselaar,Aartselaar,LEUG,LEUG,A052
11001,11001A063,759,01Mar1981,31Dec9999,21.82698226,TEN DORPE,TEN DORPE,Aartselaar,Aartselaar,TEN DORPE,TEN DORPE,A063
11001,11001A074,33,01Mar1981,31Dec9999,45.83594028,BRUINEN BAARD,BRUINEN BAARD,Aartselaar,Aartselaar,BRUINEN BAARD,BRUINEN BAARD,A074
11001,11001A091,576,01Mar1981,31Dec9999,219.0551005,KLEISTRAAT - OEVER,KLEISTRAAT - OEVER,Aartselaar,Aartselaar,KLEISTRAAT - OEVER,KLEISTRAAT - OEVER,A091
11001,11001A0MA,64,01Oct2001,31Dec9999,20.56274572,ZINKVAL,ZINKVAL,Aartselaar,Aartselaar,CLEYDAEL-KASTEEL,CLEYDAEL-KASTEEL,A0MA
11001,11001A0PA,125,01Oct2001,31Dec9999,171.2538154,CLEYDAEL-KASTEEL,CLEYDAEL-KASTEEL,Aartselaar,Aartselaar,ZINKVAL,ZINKVAL,A0PA
11001,11001A10-,805,01Mar1981,31Dec9999,36.48677039,'T HEIKEN,'T HEIKEN,Aartselaar,Aartselaar,'T HEIKEN,'T HEIKEN,A10-
11001,11001A173,606,01Mar1981,31Dec9999,109.9544753,NOTELAAN,NOTELAAN,Aartselaar,Aartselaar,NOTELAAN,NOTELAAN,A173
11001,11001A190,361,01Mar1981,31Dec9999,132.1824584,DE REUKENS,DE REUKENS,Aartselaar,Aartselaar,DE REUKENS,DE REUKENS,A190
11001,11001A20-,987,01Mar1981,31Dec9999,43.29742621,DE KOEKOEK,DE KOEKOEK,Aartselaar,Aartselaar,DE KOEKOEK,DE KOEKOEK,A20-
11001,11001A21-,1333,01Mar1981,31Dec9999,50.99610746,VIERPALEN,VIERPALEN,Aartselaar,Aartselaar,VIERPALEN,VIERPALEN,A21-
11001,11001ZZZZ,2,01Mar1981,31Dec9999,0,NIET TE LOKALISEREN IN EEN SECTOR,NON LOCALISABLE DANS UN SECTEUR,Aartselaar,Aartselaar,NIET TE LOKALISEREN IN EEN SECTOR,NON LOCALISABLE DANS UN SECTEUR,ZZZZ
11002,1100212MQ,0,01Oct2001,31Dec9999,81.00897059,STABROEK,STABROEK,Antwerpen,Anvers,STABROEK,STABROEK,12MQ
11002,11002A00-,2745,01Mar1981,31Dec9999,22.25782064,ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN ),ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN ),Antwerpen,Anvers,ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN ),ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN ),A00-
11002,11002A01-,1718,01Mar1981,31Dec9999,13.81622178,KLAPDORP - BROUWERSVLIET,KLAPDORP - BROUWERSVLIET,Antwerpen,Anvers,KLAPDORP - BROUWERSVLIET,KLAPDORP - BROUWERSVLIET,A01-
11002,11002A02-,585,01Mar1981,31Dec9999,10.90128307,GROENPLAATS (SPAANSE WALLEN),GROENPLAATS (SPAANSE WALLEN),Antwerpen,Anvers,GROENPLAATS (SPAANSE WALLEN),GROENPLAATS (SPAANSE WALLEN),A02-
11002,11002A03-,1051,01Mar1981,31Dec9999,9.244664638,HOOGSTRAAT (SPAANSE WALLEN),HOOGSTRAAT (SPAANSE WALLEN),Antwerpen,Anvers,HOOGSTRAAT (SPAANSE WALLEN),HOOGSTRAAT (SPAANSE WALLEN),A03-
11002,11002A04-,1538,01Mar1981,31Dec9999,14.88265744,OUDAAN (SPAANSE WALLEN),OUDAAN (SPAANSE WALLEN),Antwerpen,Anvers,OUDAAN (SPAANSE WALLEN),OUDAAN (SPAANSE WALLEN),A04-
11002,11002A05-,1591,01Mar1981,31Dec9999,13.47096551,GEVANGENIS (SPAANSE WALLEN),GEVANGENIS (SPAANSE WALLEN),Antwerpen,Anvers,GEVANGENIS (SPAANSE WALLEN),GEVANGENIS (SPAANSE WALLEN),A05-
11002,11002A081,0,01Mar1981,31Dec9999,14.89589449,SCHELDEKADEN NOORD,SCHELDEKADEN NOORD,Antwerpen,Anvers,SCHELDEKADEN NOORD,SCHELDEKADEN NOORD,A081
11002,11002A10-,1917,01Mar1981,31Dec9999,26.14796335,MEIR - LEYSSTRAAT (SP. WALLEN),MEIR - LEYSSTRAAT (SP. WALLEN),Antwerpen,Anvers,MEIR - LEYSSTRAAT (SP. WALLEN),MEIR - LEYSSTRAAT (SP. WALLEN),A10-
